id,brand_code,canonical_name,normalized_name,english_name,country_code,category,description,status,created_at,updated_at
,BRAND_MISSING_DOROTHY,미싱도로시,미싱도로시,MISSING DOROTHY,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MIXXO,미쏘,미쏘,MIXXO,,국내 SPA·베이직,,ACTIVE,,
,BRAND_MIAE,미애,미애,MIAE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MEANDER,미앤더,미앤더,MEANDER,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MEUNDER,미언더,미언더,MEUNDER,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MERELY_MADE,미얼리 메이드,미얼리 메이드,MERELY MADE,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MIYHOO,미와이후,미와이후,MIYHOO,,국내 컨템포러리·디자이너,,ACTIVE,,
,BRAND_MIU_MIU,미우미우,미우미우,MIU MIU,,해외 럭셔리·컨템포러리,무신사 미확인,ACTIVE,,
,BRAND_MIUKI,미유키,미유키,MIUKI,,국내 캐주얼·스트릿,,ACTIVE,,
,BRAND_MIZUNO,미즈노,미즈노,MIZUNO,,글로벌 스포츠·캐주얼,신발겸업,ACTIVE,,
